question,label_id,label
bootstrap5  button list,6,button_list
bootstrap all button list,6,button_list
bootstrap All button list,6,button_list
bootstrap4 whole buttons,6,button_list
bootstrap All buttons,6,button_list
bootstrap4 whole btn list,6,button_list
write bootstrap all button list,6,button_list
bootstrap5 whole list of button,6,button_list
write bootstrap All btn list,6,button_list
bootstrap all buttons,6,button_list
bootstrap  btn list,6,button_list
bootstrap5 all buttons,6,button_list
write bootstrap All list of button,6,button_list
